id	name	fips	sector
642	University of Florida	12	1
643	Everest University-Pompano Beach	12	2
644	Full Sail University	12	3
645	George Stone Technical Center	12	4
646	George T Baker Aviation Technical College	12	4
647	Gulf Coast State College	12	1
648	Key College	12	3
649	Hillsborough Community College	12	4
650	Hobe Sound Bible College	12	2
651	Indian River State College	12	1
652	Sanford-Brown College-Tampa	12	3
653	AI Miami International University of Art and Design	12	3
654	ITT Technical Institute-Tampa	12	3
655	Jacksonville University	12	2
656	Jones College-Jacksonville	12	2
657	Keiser University-Ft Lauderdale	12	2
658	Heritage Institute-Ft Myers	12	6
659	Florida Gateway College	12	1
660	Lake-Sumter State College	12	1
661	Fort Myers Technical College	12	4
662	Lindsey Hopkins Technical College	12	4
663	Luther Rice University & Seminary	13	2
664	State College of Florida-Manatee-Sarasota	12	1
665	Manatee Technical College	12	4
666	Trinity International University-Florida	12	2
667	Miami Lakes Educational Center and Technical College	12	4
668	Miami Dade College	12	1
669	University of Miami	12	2
670	Orange Technical College-Mid Florida Campus	12	4
671	Remington College-Tampa Campus	12	2
672	Everest Institute-North Miami	12	6
673	Lincoln College of Technology-West Palm Beach	12	3
674	North Florida Community College	12	4
675	University of North Florida	12	1
676	Northwood University-Florida	12	2
677	Nova Southeastern University	12	2
678	Northwest Florida State College	12	1
679	Everest University-North Orlando	12	2
680	Orange Technical College-Orlando Campus	12	4
681	Palm Beach Atlantic University	12	2
682	Palm Beach State College	12	1
683	Pasco-Hernando State College	12	1
684	Pensacola State College	12	1
685	Pinellas Technical College-Clearwater	12	4
686	Polk State College	12	1
687	Saint Vincent de Paul Regional Seminary	12	2
688	Ringling College of Art and Design	12	2
689	Robert Morgan Educational Center and Technical College	12	4
690	Rollins College	12	2
691	Saint Leo University	12	2
692	St Petersburg College	12	1
693	Pinellas Technical College-St. Petersburg	12	4
694	Santa Fe College	12	1
695	Argosy University-Sarasota	12	3
696	Seminole State College of Florida	12	1
697	Sheridan Technical College	12	4
698	Saint John Vianney College Seminary	12	2
699	Saint Johns River State College	12	1
700	South Florida State College	12	1
701	University of South Florida-Main Campus	12	1
702	St Thomas University	12	2
703	Stenotype Institute of Jacksonville Inc-Jacksonville	12	6
704	Stetson University	12	2
705	Southeastern University	12	2
706	RIVEROAK Technical College	12	4
707	Tallahassee Community College	12	4
708	Talmudic College of Florida	12	2
709	Everest University-Tampa	12	2
710	Everest University-Largo	12	2
711	The University of Tampa	12	2
712	Taylor Technical Institute	12	4
713	Tom P Haney Technical Center	12	4
714	Trinity Baptist College	12	2
715	Trinity College of Florida	12	2
716	Valencia College	12	1
717	Warner University	12	2
718	Florida Panhandle Technical College	12	4
719	Webber International University	12	2
720	Rasmussen College-Florida	12	3
721	The University of West Florida	12	1
722	Orange Technical College-Westside Campus	12	4
723	William T McFatter Technical College	12	4
724	Withlacoochee Technical Institute	12	4
725	Abraham Baldwin Agricultural College	13	1
726	Agnes Scott College	13	2
727	Interactive College of Technology-Chamblee	13	6
728	Interactive College of Technology-Morrow	13	6
729	Albany Technical College	13	4
730	Darton State College	13	1
731	Albany State University	13	1
732	Andrew College	13	5
733	Armstrong State University	13	1
734	The Art Institute of Atlanta	13	3
735	Atlanta Technical College	13	4
736	Point University	13	2
